Direction,X_causing,Y_caused,Best_Lag,Min_p_value,Significant_5pct
Brent_Crude -> Formosa_Petrochemical,Brent_Crude,Formosa_Petrochemical,6,6.067645884033806e-24,True
Brent_Crude -> Formosa_Plastics,Brent_Crude,Formosa_Plastics,5,1.8501829957016156e-16,True
Brent_Crude -> Formosa_Chemicals,Brent_Crude,Formosa_Chemicals,5,2.8850435756673473e-15,True
US_Dollar_Index -> TAIEX,US_Dollar_Index,TAIEX,6,6.17064068790424e-14,True
Brent_Crude -> Nan_Ya,Brent_Crude,Nan_Ya,5,4.949992492340563e-13,True
Brent_Crude -> TAIEX,Brent_Crude,TAIEX,5,4.580063334626603e-12,True
US_Dollar_Index -> Nan_Ya,US_Dollar_Index,Nan_Ya,6,8.21984011198457e-09,True
US_Dollar_Index -> Formosa_Petrochemical,US_Dollar_Index,Formosa_Petrochemical,4,3.0488609624978716e-07,True
US_Dollar_Index -> Formosa_Chemicals,US_Dollar_Index,Formosa_Chemicals,6,4.6298443585095585e-07,True
US_Dollar_Index -> Formosa_Plastics,US_Dollar_Index,Formosa_Plastics,4,6.099988530249567e-07,True
Formosa_Plastics -> Nan_Ya,Formosa_Plastics,Nan_Ya,1,8.088674363760635e-07,True
Natural_Gas -> Formosa_Plastics,Natural_Gas,Formosa_Plastics,1,1.4856308139022676e-05,True
Natural_Gas -> Formosa_Petrochemical,Natural_Gas,Formosa_Petrochemical,1,4.35471698008056e-05,True
Natural_Gas -> TAIEX,Natural_Gas,TAIEX,2,5.210507921783842e-05,True
Natural_Gas -> Nan_Ya,Natural_Gas,Nan_Ya,1,0.0001431595867504432,True
Natural_Gas -> Formosa_Chemicals,Natural_Gas,Formosa_Chemicals,1,0.0003123918624595889,True
Formosa_Plastics -> Formosa_Chemicals,Formosa_Plastics,Formosa_Chemicals,5,0.0005868939756755998,True
TAIEX -> Formosa_Plastics,TAIEX,Formosa_Plastics,4,0.0015775642361501132,True
Brent_Crude -> US_Dollar_Index,Brent_Crude,US_Dollar_Index,1,0.002255337176675751,True
Formosa_Petrochemical -> Formosa_Chemicals,Formosa_Petrochemical,Formosa_Chemicals,4,0.004681453950554172,True
TAIEX -> Formosa_Petrochemical,TAIEX,Formosa_Petrochemical,1,0.005282250353276078,True
Formosa_Chemicals -> Formosa_Petrochemical,Formosa_Chemicals,Formosa_Petrochemical,6,0.0057118297055631,True
