Lag,AIC,BIC,HQIC,FPE,Best_AIC,Best_BIC,Best_HQIC,Best_FPE
0,-64.72008167488194,-64.70187226155711,-64.7134801989078,7.805948117599552e-29,False,False,False,False
1,-67.23955391825676,-67.07566919833333,-67.1801406344895,6.28395211581306e-30,False,False,False,False
2,-68.2461866282385,-67.93662660171647,-68.13396153667811,2.2964574661812076e-30,False,False,False,False
3,-68.78259489080546,-68.32735955768482,-68.61755799145195,1.343076399163977e-30,False,False,False,False
4,-69.08517520096234,-68.48426456124308,-68.8673264938157,9.924177593517439e-31,False,False,False,False
5,-69.29113323726553,-68.54454729094766,-69.02047272232575,8.077046537954818e-31,False,False,False,False
6,-69.49414333359056,-68.60188208067409,-69.17067101085766,6.593151632579381e-31,False,True,False,False
7,-69.61743542761658,-68.57949886810151,-69.24115129709057,5.828505326227259e-31,False,False,False,False
8,-69.72132526153194,-68.53771339541827,-69.2922293232128,5.253522686656026e-31,False,False,False,False
9,-69.81284096760423,-68.48355379489195,-69.33093322149196,4.794258513554337e-31,False,False,False,False
10,-69.87002867732994,-68.39506619801905,-69.33530912342455,4.5279807350231905e-31,False,False,True,False
11,-69.91616076634541,-68.29552298043592,-69.32862940464689,4.324076169328508e-31,False,False,False,False
12,-69.92995065386779,-68.16363756135969,-69.28960748437615,4.265135269828461e-31,False,False,False,False
13,-69.94673944250036,-68.03475104339365,-69.2535844652156,4.194449485219588e-31,False,False,False,False
14,-69.97532897661483,-67.91766527090952,-69.22936219153694,4.076595705008254e-31,False,False,False,False
15,-70.00224583710961,-67.7989068248057,-69.2034672442386,3.968740350259113e-31,False,False,False,False
16,-69.99425383504091,-67.64523951613837,-69.14266343437677,4.001057733762732e-31,False,False,False,False
17,-69.99607824627894,-67.5013886207778,-69.09167603782167,3.994298535572977e-31,False,False,False,False
18,-70.0143347549373,-67.37396982283755,-69.0571207386869,3.9226274754422137e-31,False,False,False,False
19,-70.02172555866865,-67.2356853199703,-69.01169973462513,3.894396479376347e-31,False,False,False,False
20,-70.0231106805483,-67.09139513525135,-68.96027304871166,3.8897309368856036e-31,True,False,False,True
